account_id,date_time_utc,type,figi,payment,quantity,price,currency
2048674341,2025-07-28T14:25:01.082000+00:00,Покупка ценных бумаг,TCS00A10B4K3,-16415,2,8190,rub
2048674341,2025-07-28T14:23:38.668000+00:00,Покупка ценных бумаг,TCS00A10B4K3,205,2,102,rub
2048674341,2025-07-28T13:06:50.048000+00:00,Удержание комиссии за операцию,TCS00A107T19,-62,0,0,rub
2048674341,2025-07-28T13:06:49.048000+00:00,Продажа ценных бумаг,TCS00A107T19,20860,5,4172,rub
2048674341,2025-07-25T10:46:40.624000+00:00,Удержание комиссии за операцию,TCS00A10B4K3,-48,0,0,rub
2048674341,2025-07-25T10:46:39.624000+00:00,Покупка ценных бумаг,TCS00A10B4K3,-16135,2,8051,rub
2048674341,2025-07-25T10:44:58.214000+00:00,Удержание комиссии за операцию,BBG004RVFCY3,-54,0,0,rub
2048674341,2025-07-25T10:44:50.229000+00:00,Покупка ценных бумаг,BBG004RVFCY3,-18325,5,3665,rub
2048674341,2025-07-25T10:40:54.317000+00:00,Удержание комиссии за операцию,BBG004730N88,-83,0,0,rub
2048674341,2025-07-25T10:40:53.317000+00:00,Продажа ценных бумаг,BBG004730N88,27717,90,307,rub
2048674341,2025-07-22T08:20:57+00:00,Выплата купонов,TCS00A10AXW4,308,0,0,rub
2048674341,2025-07-22T08:18:47+00:00,Выплата купонов,TCS00A10B4K3,258,0,0,rub
